,Branch,Date,# Drops,# Partials,# Irregular Borrower,# Paid Off Yesterday,# Today Disbursed,# Today Paid Off,# Virtual New Borrower (Disbursed),# Returning Borrowers (Disbursed),# CGT Trainings,New Members (pending loans not yet approved),# Recognized Return Members (pending loans not yet approved),$ Portfolio Outstanding,Center #,Total # Active Members,# Active Members Present,# Active Members late,# Active Members Absent Excused,# Active Members Absent Unexcused,Reasons for Lateness or Absences
213,08 - Jamaica/LIC - Queens 2,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
214,08 - Jamaica/LIC - Queens 2,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
215,08 - Jamaica/LIC - Queens 2,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
216,08 - Jamaica/LIC - Queens 2,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
217,08 - Jamaica/LIC - Queens 2,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
218,08 - Jamaica/LIC - Queens 2,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
219,08 - Jamaica/LIC - Queens 2,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
220,08 - Jamaica/LIC - Queens 2,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
221,08 - Jamaica/LIC - Queens 2,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
222,08 - Jamaica/LIC - Queens 2,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
223,08 - Jamaica/LIC - Queens 2,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
224,08 - Jamaica/LIC - Queens 2,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
225,08 - Jamaica/LIC - Queens 2,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
226,08 - Jamaica/LIC - Queens 2,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
227,08 - Jamaica/LIC - Queens 2,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
228,08 - Jamaica/LIC - Queens 2,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
229,08 - Jamaica/LIC - Queens 2,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
230,08 - Jamaica/LIC - Queens 2,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
231,08 - Jamaica/LIC - Queens 2,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
232,09 - Sunset Park - Brooklyn 2,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
233,09 - Sunset Park - Brooklyn 2,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
234,09 - Sunset Park - Brooklyn 2,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
235,09 - Sunset Park - Brooklyn 2,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
236,09 - Sunset Park - Brooklyn 2,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
237,09 - Sunset Park - Brooklyn 2,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
238,09 - Sunset Park - Brooklyn 2,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
239,09 - Sunset Park - Brooklyn 2,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
240,09 - Sunset Park - Brooklyn 2,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
241,09 - Sunset Park - Brooklyn 2,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
242,09 - Sunset Park - Brooklyn 2,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
243,09 - Sunset Park - Brooklyn 2,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
244,09 - Sunset Park - Brooklyn 2,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
245,09 - Sunset Park - Brooklyn 2,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
246,09 - Sunset Park - Brooklyn 2,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
247,09 - Sunset Park - Brooklyn 2,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
248,09 - Sunset Park - Brooklyn 2,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
249,09 - Sunset Park - Brooklyn 2,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
250,09 - Sunset Park - Brooklyn 2,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
251,09 - Sunset Park - Brooklyn 2,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
252,09 - Sunset Park - Brooklyn 2,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
253,09 - Sunset Park - Brooklyn 2,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
254,09 - Sunset Park - Brooklyn 2,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
255,09 - Sunset Park - Brooklyn 2,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
256,09 - Sunset Park - Brooklyn 2,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
257,09 - Sunset Park - Brooklyn 2,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
258,09 - Sunset Park - Brooklyn 2,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
259,09 - Sunset Park - Brooklyn 2,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
260,09 - Sunset Park - Brooklyn 2,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
261,10 - Boyle Heights - Los Angeles 1,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
262,10 - Boyle Heights - Los Angeles 1,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
263,10 - Boyle Heights - Los Angeles 1,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
264,10 - Boyle Heights - Los Angeles 1,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
265,10 - Boyle Heights - Los Angeles 1,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
266,10 - Boyle Heights - Los Angeles 1,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
267,10 - Boyle Heights - Los Angeles 1,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
268,10 - Boyle Heights - Los Angeles 1,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
269,10 - Boyle Heights - Los Angeles 1,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
270,10 - Boyle Heights - Los Angeles 1,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
271,10 - Boyle Heights - Los Angeles 1,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
272,10 - Boyle Heights - Los Angeles 1,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
273,10 - Boyle Heights - Los Angeles 1,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
274,10 - Boyle Heights - Los Angeles 1,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
275,10 - Boyle Heights - Los Angeles 1,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
276,10 - Boyle Heights - Los Angeles 1,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
277,10 - Boyle Heights - Los Angeles 1,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
278,10 - Boyle Heights - Los Angeles 1,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
279,10 - Boyle Heights - Los Angeles 1,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
280,10 - Boyle Heights - Los Angeles 1,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
281,10 - Boyle Heights - Los Angeles 1,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
282,10 - Boyle Heights - Los Angeles 1,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
283,10 - Boyle Heights - Los Angeles 1,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
284,10 - Boyle Heights - Los Angeles 1,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
285,10 - Boyle Heights - Los Angeles 1,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
286,10 - Boyle Heights - Los Angeles 1,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
287,10 - Boyle Heights - Los Angeles 1,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
288,10 - Boyle Heights - Los Angeles 1,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
289,10 - Boyle Heights - Los Angeles 1,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
290,1001 - Newark BAI - New Jersey 3,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
291,1001 - Newark BAI - New Jersey 3,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
292,1001 - Newark BAI - New Jersey 3,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
293,1001 - Newark BAI - New Jersey 3,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
294,1001 - Newark BAI - New Jersey 3,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
295,1001 - Newark BAI - New Jersey 3,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
296,1001 - Newark BAI - New Jersey 3,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
297,1001 - Newark BAI - New Jersey 3,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
298,1001 - Newark BAI - New Jersey 3,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
299,1001 - Newark BAI - New Jersey 3,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
300,1001 - Newark BAI - New Jersey 3,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
301,1001 - Newark BAI - New Jersey 3,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
302,1001 - Newark BAI - New Jersey 3,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
303,1001 - Newark BAI - New Jersey 3,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
304,1001 - Newark BAI - New Jersey 3,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
305,1001 - Newark BAI - New Jersey 3,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
306,1001 - Newark BAI - New Jersey 3,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
307,1001 - Newark BAI - New Jersey 3,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
308,1001 - Newark BAI - New Jersey 3,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
309,1001 - Newark BAI - New Jersey 3,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
310,1001 - Newark BAI - New Jersey 3,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
311,1001 - Newark BAI - New Jersey 3,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
312,1001 - Newark BAI - New Jersey 3,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
313,1001 - Newark BAI - New Jersey 3,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
314,1001 - Newark BAI - New Jersey 3,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
315,1001 - Newark BAI - New Jersey 3,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
316,1001 - Newark BAI - New Jersey 3,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
317,1001 - Newark BAI - New Jersey 3,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
318,1001 - Newark BAI - New Jersey 3,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
319,11 - Charlotte - North Carolina,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
320,11 - Charlotte - North Carolina,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
321,11 - Charlotte - North Carolina,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
322,11 - Charlotte - North Carolina,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
323,11 - Charlotte - North Carolina,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
324,11 - Charlotte - North Carolina,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
325,11 - Charlotte - North Carolina,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
326,11 - Charlotte - North Carolina,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
327,11 - Charlotte - North Carolina,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
328,11 - Charlotte - North Carolina,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
329,11 - Charlotte - North Carolina,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
330,11 - Charlotte - North Carolina,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
331,11 - Charlotte - North Carolina,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
332,11 - Charlotte - North Carolina,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
333,11 - Charlotte - North Carolina,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
334,11 - Charlotte - North Carolina,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
335,11 - Charlotte - North Carolina,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
336,11 - Charlotte - North Carolina,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
337,11 - Charlotte - North Carolina,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
338,11 - Charlotte - North Carolina,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
339,11 - Charlotte - North Carolina,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
340,11 - Charlotte - North Carolina,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
341,11 - Charlotte - North Carolina,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
342,11 - Charlotte - North Carolina,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
343,11 - Charlotte - North Carolina,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
344,11 - Charlotte - North Carolina,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
345,11 - Charlotte - North Carolina,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
346,11 - Charlotte - North Carolina,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
347,11 - Charlotte - North Carolina,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
348,12 - Pico Union - Los Angeles 2,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
349,12 - Pico Union - Los Angeles 2,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
350,12 - Pico Union - Los Angeles 2,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
351,12 - Pico Union - Los Angeles 2,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
352,12 - Pico Union - Los Angeles 2,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
353,12 - Pico Union - Los Angeles 2,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
354,12 - Pico Union - Los Angeles 2,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
355,12 - Pico Union - Los Angeles 2,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
356,12 - Pico Union - Los Angeles 2,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
357,12 - Pico Union - Los Angeles 2,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
358,12 - Pico Union - Los Angeles 2,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
359,12 - Pico Union - Los Angeles 2,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
360,12 - Pico Union - Los Angeles 2,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
361,12 - Pico Union - Los Angeles 2,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
362,12 - Pico Union - Los Angeles 2,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
363,12 - Pico Union - Los Angeles 2,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
364,12 - Pico Union - Los Angeles 2,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
365,12 - Pico Union - Los Angeles 2,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
366,12 - Pico Union - Los Angeles 2,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
367,12 - Pico Union - Los Angeles 2,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
368,12 - Pico Union - Los Angeles 2,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
369,12 - Pico Union - Los Angeles 2,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
370,12 - Pico Union - Los Angeles 2,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
371,12 - Pico Union - Los Angeles 2,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
372,12 - Pico Union - Los Angeles 2,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
373,12 - Pico Union - Los Angeles 2,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
374,12 - Pico Union - Los Angeles 2,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
375,12 - Pico Union - Los Angeles 2,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
376,12 - Pico Union - Los Angeles 2,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
377,13 - San Jose - SF Bay Area 2,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
378,13 - San Jose - SF Bay Area 2,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
379,13 - San Jose - SF Bay Area 2,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
380,13 - San Jose - SF Bay Area 2,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
381,13 - San Jose - SF Bay Area 2,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
382,13 - San Jose - SF Bay Area 2,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
383,13 - San Jose - SF Bay Area 2,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
384,13 - San Jose - SF Bay Area 2,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
385,13 - San Jose - SF Bay Area 2,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
386,13 - San Jose - SF Bay Area 2,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
387,13 - San Jose - SF Bay Area 2,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
388,13 - San Jose - SF Bay Area 2,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
389,13 - San Jose - SF Bay Area 2,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
390,13 - San Jose - SF Bay Area 2,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
391,13 - San Jose - SF Bay Area 2,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
392,13 - San Jose - SF Bay Area 2,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
393,13 - San Jose - SF Bay Area 2,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
394,13 - San Jose - SF Bay Area 2,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
395,13 - San Jose - SF Bay Area 2,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
396,13 - San Jose - SF Bay Area 2,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
397,13 - San Jose - SF Bay Area 2,2022-02-21,34,19,1,7,0,23,6,47,5,39,1,1,24,8,7,37,15,39,c
398,13 - San Jose - SF Bay Area 2,2022-02-22,0,29,23,40,4,42,39,19,13,44,38,38,34,3,47,29,30,28,b
399,13 - San Jose - SF Bay Area 2,2022-02-23,23,24,19,26,31,47,41,30,28,29,45,39,21,34,8,24,47,44,o
400,13 - San Jose - SF Bay Area 2,2022-02-24,26,16,40,18,7,5,11,44,25,10,4,42,0,46,26,25,18,38,r
401,13 - San Jose - SF Bay Area 2,2022-02-25,14,39,26,13,16,28,24,27,30,6,42,24,0,18,11,24,22,31,n
402,13 - San Jose - SF Bay Area 2,2022-02-26,13,25,4,2,38,9,31,31,31,19,12,38,33,26,38,46,18,25,m
403,13 - San Jose - SF Bay Area 2,2022-02-27,23,33,39,42,19,47,30,9,44,2,22,21,24,6,12,5,39,10,y
404,13 - San Jose - SF Bay Area 2,2022-02-28,0,0,26,26,8,40,15,3,46,19,23,7,16,13,5,31,11,31,k
405,13 - San Jose - SF Bay Area 2,2022-03-01,16,28,5,41,27,25,27,26,28,48,10,42,20,36,15,26,44,3,o
406,14 - Austin - Texas,2022-02-01,22,21,27,18,36,23,5,14,27,4,19,20,1,37,33,30,42,32,v
407,14 - Austin - Texas,2022-02-02,8,12,6,46,32,30,47,9,0,4,20,2,47,42,5,34,40,36,x
408,14 - Austin - Texas,2022-02-03,36,45,25,26,24,9,31,3,22,29,41,41,20,10,15,22,10,5,z
409,14 - Austin - Texas,2022-02-04,15,6,42,7,28,42,1,14,36,43,34,37,38,41,42,33,8,27,c
410,14 - Austin - Texas,2022-02-05,48,44,25,44,11,15,41,46,12,12,10,22,13,31,40,23,12,40,g
411,14 - Austin - Texas,2022-02-06,2,21,31,49,21,49,3,18,16,22,6,11,24,18,11,11,33,37,r
412,14 - Austin - Texas,2022-02-07,11,44,27,41,22,37,28,6,14,26,49,34,42,39,28,26,45,21,o
413,14 - Austin - Texas,2022-02-08,19,38,40,41,6,26,25,24,3,11,9,33,39,33,42,27,18,0,m
414,14 - Austin - Texas,2022-02-09,20,35,47,36,46,26,5,22,16,29,22,48,36,19,28,5,15,18,u
415,14 - Austin - Texas,2022-02-10,34,8,4,40,8,47,49,36,1,29,19,11,47,24,4,37,35,34,y
416,14 - Austin - Texas,2022-02-11,16,18,38,38,8,40,18,45,40,49,15,16,29,27,37,19,12,24,l
417,14 - Austin - Texas,2022-02-12,15,38,41,3,43,31,13,29,19,0,28,43,5,15,30,37,20,42,a
418,14 - Austin - Texas,2022-02-13,31,34,22,3,10,30,19,29,29,21,40,28,30,30,24,41,13,3,w
419,14 - Austin - Texas,2022-02-14,38,39,22,36,1,14,39,17,26,24,19,40,39,30,49,40,21,34,w
420,14 - Austin - Texas,2022-02-15,3,0,22,46,12,43,40,36,45,35,35,38,33,27,24,0,5,26,p
421,14 - Austin - Texas,2022-02-16,29,32,41,31,44,11,31,7,39,5,31,34,25,10,38,21,39,43,v
422,14 - Austin - Texas,2022-02-17,5,28,40,2,23,32,29,16,23,9,16,49,2,17,6,21,38,23,a
423,14 - Austin - Texas,2022-02-18,1,46,1,23,27,20,21,9,7,33,21,37,4,26,16,34,11,11,a
424,14 - Austin - Texas,2022-02-19,14,11,29,16,17,31,42,24,35,9,34,35,12,17,48,21,17,48,r
425,14 - Austin - Texas,2022-02-20,7,24,20,19,6,31,42,22,45,27,40,31,24,6,45,28,3,12,n
